('Voo Air France 358', 1621009936, 'https://www.dailymotion.com/video/x80k5vb', 61148283, 61148312, 0, '', 'Lucasoliveira653', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Voo_Air_France_358', 'request_id': 'e264a000-7324-490f-89ad-67064b9deaff', 'id': '743d7b6e-2b64-497f-af78-36beeb91acb7', 'dt': '2021-05-14T16:32:16Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180728557}, 'id': 105724947, 'type': 'edit', 'namespace': 0, 'title': 'Voo Air France 358', 'comment': '', 'timestamp': 1621009936, 'user': 'Lucasoliveira653', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6862, 'new': 7057}, 'revision': {'old': 61148283, 'new': 61148312}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://www.dailymotion.com/video/x80k5vb'})
('James Arthur (cantor)', 1621009966, 'http://www.myspace.com/moonlightdrivemusic|titulo=', 60823486, 61148316, 0, '', 'Hyju', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/James_Arthur_(cantor)', 'request_id': '0b3b8aef-61a7-4224-9ae9-1a8c720ca362', 'id': 'cc66f51f-73f0-4b9c-8939-7505f9f22627', 'dt': '2021-05-14T16:32:46Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180729570}, 'id': 105724951, 'type': 'edit', 'namespace': 0, 'title': 'James Arthur (cantor)', 'comment': '', 'timestamp': 1621009966, 'user': 'Hyju', 'bot': False, 'minor': False, 'patrolled': True, 'length': {'old': 19415, 'new': 19519}, 'revision': {'old': 60823486, 'new': 61148316}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://www.myspace.com/moonlightdrivemusic|titulo='})
('James Arthur (cantor)', 1621009966, 'http://www.myspace.com/savearcade|titulo=', 60823486, 61148316, 0, '', 'Hyju', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/James_Arthur_(cantor)', 'request_id': '0b3b8aef-61a7-4224-9ae9-1a8c720ca362', 'id': 'cc66f51f-73f0-4b9c-8939-7505f9f22627', 'dt': '2021-05-14T16:32:46Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180729570}, 'id': 105724951, 'type': 'edit', 'namespace': 0, 'title': 'James Arthur (cantor)', 'comment': '', 'timestamp': 1621009966, 'user': 'Hyju', 'bot': False, 'minor': False, 'patrolled': True, 'length': {'old': 19415, 'new': 19519}, 'revision': {'old': 60823486, 'new': 61148316}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://www.myspace.com/savearcade|titulo='})
('James Arthur (cantor)', 1621009966, 'http://www.myspace.com/cuethedrama|titulo=', 60823486, 61148316, 0, '', 'Hyju', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/James_Arthur_(cantor)', 'request_id': '0b3b8aef-61a7-4224-9ae9-1a8c720ca362', 'id': 'cc66f51f-73f0-4b9c-8939-7505f9f22627', 'dt': '2021-05-14T16:32:46Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180729570}, 'id': 105724951, 'type': 'edit', 'namespace': 0, 'title': 'James Arthur (cantor)', 'comment': '', 'timestamp': 1621009966, 'user': 'Hyju', 'bot': False, 'minor': False, 'patrolled': True, 'length': {'old': 19415, 'new': 19519}, 'revision': {'old': 60823486, 'new': 61148316}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://www.myspace.com/cuethedrama|titulo='})
('James Arthur (cantor)', 1621009966, 'http://www.amazon.co.uk/gp/product/B0093IWGFC/|titulo=', 60823486, 61148316, 0, '', 'Hyju', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/James_Arthur_(cantor)', 'request_id': '0b3b8aef-61a7-4224-9ae9-1a8c720ca362', 'id': 'cc66f51f-73f0-4b9c-8939-7505f9f22627', 'dt': '2021-05-14T16:32:46Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180729570}, 'id': 105724951, 'type': 'edit', 'namespace': 0, 'title': 'James Arthur (cantor)', 'comment': '', 'timestamp': 1621009966, 'user': 'Hyju', 'bot': False, 'minor': False, 'patrolled': True, 'length': {'old': 19415, 'new': 19519}, 'revision': {'old': 60823486, 'new': 61148316}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://www.amazon.co.uk/gp/product/B0093IWGFC/|titulo='})
('James Arthur (cantor)', 1621009966, 'https://web.archive.org/web/20121025012011/http://tellymix.co.uk/reality-tv/the-x-factor/112626-x-factor-2012-james-arthur-accused-of-copying-sexy-and-i-know-it-cover.html', 60823486, 61148316, 0, '', 'Hyju', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/James_Arthur_(cantor)', 'request_id': '0b3b8aef-61a7-4224-9ae9-1a8c720ca362', 'id': 'cc66f51f-73f0-4b9c-8939-7505f9f22627', 'dt': '2021-05-14T16:32:46Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180729570}, 'id': 105724951, 'type': 'edit', 'namespace': 0, 'title': 'James Arthur (cantor)', 'comment': '', 'timestamp': 1621009966, 'user': 'Hyju', 'bot': False, 'minor': False, 'patrolled': True, 'length': {'old': 19415, 'new': 19519}, 'revision': {'old': 60823486, 'new': 61148316}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://web.archive.org/web/20121025012011/http://tellymix.co.uk/reality-tv/the-x-factor/112626-x-factor-2012-james-arthur-accused-of-copying-sexy-and-i-know-it-cover.html'})
('A Invenção do Brasil', 1621010191, 'http://www1.folha.uol.com.br/fsp/ilustrad/fq1904200013.htm|titulo=Microssérie', 61019750, 61148328, 0, '', 'Beatrizburle', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/A_Inven%C3%A7%C3%A3o_do_Brasil', 'request_id': '4e163f24-da77-4730-b861-d6140aee4fd7', 'id': '4753f739-2f95-4e67-ac50-47eb0053ab3b', 'dt': '2021-05-14T16:36:31Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180736382}, 'id': 105724991, 'type': 'edit', 'namespace': 0, 'title': 'A Invenção do Brasil', 'comment': '', 'timestamp': 1621010191, 'user': 'Beatrizburle', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 4302, 'new': 4299}, 'revision': {'old': 61019750, 'new': 61148328}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://www1.folha.uol.com.br/fsp/ilustrad/fq1904200013.htm|titulo=Microssérie'})
('Extremidade superior', 1621010240, 'http://www.ncbi.nlm.nih.gov/books/NBK507841/', 61141800, 61148333, 0, 'Articulações', 'P.H.P. Martins', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Extremidade_superior', 'request_id': '36b7f30c-2f07-4a7d-beae-0794961696e5', 'id': 'a5d676e8-ebb9-485b-8e29-4fe33bf03895', 'dt': '2021-05-14T16:37:20Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180737983}, 'id': 105725001, 'type': 'edit', 'namespace': 0, 'title': 'Extremidade superior', 'comment': 'Articulações', 'timestamp': 1621010240, 'user': 'P.H.P. Martins', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 21360, 'new': 23488}, 'revision': {'old': 61141800, 'new': 61148333}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'Articulações', 'url': 'http://www.ncbi.nlm.nih.gov/books/NBK507841/'})
('Usuário(a):Bernardo.fm/Testes', 1621010290, 'http://journals.openedition.org/espacoeconomia/16851', 61148225, 61148336, 2, '/* Construção */', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Usu%C3%A1rio(a):Bernardo.fm/Testes', 'request_id': 'ca0788a7-064b-4788-be66-47d826b62cbc', 'id': '2077b7bd-70a7-4535-89ec-b951e55787d7', 'dt': '2021-05-14T16:38:10Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180739421}, 'id': 105725007, 'type': 'edit', 'namespace': 2, 'title': 'Usuário(a):Bernardo.fm/Testes', 'comment': '/* Construção */', 'timestamp': 1621010290, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 9626, 'new': 11650}, 'revision': {'old': 61148225, 'new': 61148336}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '<span dir="auto"><span class="autocomment"><a href="/wiki/Usu%C3%A1rio(a):Bernardo.fm/Testes#Construção" title="Usuário(a):Bernardo.fm/Testes">→\u200eConstrução</a></span></span>', 'url': 'http://journals.openedition.org/espacoeconomia/16851'})
('Usuário(a):Bernardo.fm/Testes', 1621010290, 'http://g1.globo.com/politica/noticia/2010/06/lula-chega-ao-rio-para-inauguracao-da-csa.html', 61148225, 61148336, 2, '/* Construção */', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Usu%C3%A1rio(a):Bernardo.fm/Testes', 'request_id': 'ca0788a7-064b-4788-be66-47d826b62cbc', 'id': '2077b7bd-70a7-4535-89ec-b951e55787d7', 'dt': '2021-05-14T16:38:10Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180739421}, 'id': 105725007, 'type': 'edit', 'namespace': 2, 'title': 'Usuário(a):Bernardo.fm/Testes', 'comment': '/* Construção */', 'timestamp': 1621010290, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 9626, 'new': 11650}, 'revision': {'old': 61148225, 'new': 61148336}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '<span dir="auto"><span class="autocomment"><a href="/wiki/Usu%C3%A1rio(a):Bernardo.fm/Testes#Construção" title="Usuário(a):Bernardo.fm/Testes">→\u200eConstrução</a></span></span>', 'url': 'http://g1.globo.com/politica/noticia/2010/06/lula-chega-ao-rio-para-inauguracao-da-csa.html'})
('Usuário(a):Bernardo.fm/Testes', 1621010290, 'www.rj.gov.br|lingua=pt-br', 61148225, 61148336, 2, '/* Construção */', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Usu%C3%A1rio(a):Bernardo.fm/Testes', 'request_id': 'ca0788a7-064b-4788-be66-47d826b62cbc', 'id': '2077b7bd-70a7-4535-89ec-b951e55787d7', 'dt': '2021-05-14T16:38:10Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180739421}, 'id': 105725007, 'type': 'edit', 'namespace': 2, 'title': 'Usuário(a):Bernardo.fm/Testes', 'comment': '/* Construção */', 'timestamp': 1621010290, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 9626, 'new': 11650}, 'revision': {'old': 61148225, 'new': 61148336}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '<span dir="auto"><span class="autocomment"><a href="/wiki/Usu%C3%A1rio(a):Bernardo.fm/Testes#Construção" title="Usuário(a):Bernardo.fm/Testes">→\u200eConstrução</a></span></span>', 'url': 'www.rj.gov.br|lingua=pt-br'})
